Address,Area (m²),Price (R$),Bedrooms,Bathrooms,Parking Spaces,Link,Price (R$) Normalized,Area (m²) Normalized
Desconhecido,74.0,720000.0,2,3,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-olho-d-agua-sao-luis-com-garagem-74m2-venda-RS720000-id-2775835939/?source=ranking%2Crp,0.23404255319148937,0.1864406779661017
Avenida Maestro João Nunes,86.0,500000.0,2,3,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-86m2-venda-RS500000-id-2562074767/?source=ranking%2Crp,0.07801418439716312,0.288135593220339
Rua Aziz Heluy,97.0,890000.0,2,3,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-97m2-venda-RS890000-id-2698306979/?source=ranking%2Crp,0.3546099290780142,0.3813559322033898
Rua Vinte,170.0,450000.0,4,4,3,https://www.vivareal.com.br/imovel/apartamento-4-quartos-ponta-d-areia-sao-luis-com-garagem-170m2-venda-RS450000-id-2801757055/?source=ranking%2Crp,0.0425531914893617,1.0
Avenida Maestro João Nunes,90.0,530000.0,2,2,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-90m2-venda-RS530000-id-2563218719/?source=ranking%2Crp,0.09929078014184398,0.3220338983050847
Rua Frei Antônio,82.0,1100000.0,2,2,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-82m2-venda-RS1100000-id-2723963033/?source=ranking%2Crp,0.5035460992907801,0.2542372881355932
Rua Aziz Heluy,92.0,880000.0,3,2,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-d-areia-sao-luis-com-garagem-92m2-venda-RS880000-id-2670546896/?source=ranking%2Crp,0.3475177304964539,0.3389830508474576
Desconhecido,140.0,1100000.0,3,4,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-renascenca-sao-luis-com-garagem-140m2-venda-RS1100000-id-2752206794/?source=ranking%2Crp,0.5035460992907801,0.7457627118644068
Avenida dos Holandeses,68.0,770000.0,2,3,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-68m2-venda-RS770000-id-2789636517/?source=ranking%2Crp,0.2695035460992908,0.13559322033898305
Avenida Doutor Jackson Kléper Lago,136.0,1600000.0,3,4,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ponta-d-areia-sao-luis-com-garagem-136m2-venda-RS1600000-id-2787150414/?source=ranking%2Crp,0.8581560283687943,0.711864406779661
Rua das Angélicas,69.0,1000000.0,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-69m2-venda-RS1000000-id-2774083115/?source=ranking%2Crp,0.4326241134751773,0.1440677966101695
Avenida Doutor Jackson Kléper Lago,88.0,800000.0,2,1,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-d-areia-sao-luis-com-garagem-88m2-venda-RS800000-id-2782275926/?source=ranking%2Crp,0.2907801418439716,0.3050847457627119
